# Rime user dictionary
#@/db_name	zhung.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12045
#@/user_id	stella
a1 	啊	c=65 d=4.31181 t=12045
wui2 you3 	唯有	c=2 d=0.0675539 t=12045
wui2 zhu3 	爲主	c=1 d=0.557106 t=12045
wui3 chy2 	維持	c=1 d=0.66034 t=12045
wui3 qi2 	維奇	c=0 d=0.0546074 t=12045
wui3 sheng1 su4 	維生素	c=19 d=4.53859 t=12045
wui4 dan4 be2 mei2 	胃蛋白酶	c=1 d=0.355226 t=12045
wui4 dian3 	位點	c=2 d=0.22412 t=12045
wui4 dian3 shang4 	位點上	c=1 d=0.139457 t=12045
wui4 ma3 	位碼	c=6 d=0.00369784 t=12045
wui4 sheng1 	衛生	c=1 d=0.224249 t=12045
wui4 sheng1 li3 hua4 jan3 yan4 	衛生理化檢驗	c=1 d=0.0208584 t=12045
wui4 sheng1 tung3 ji4 xuo2 	衛生統計學	c=1 d=0.0237541 t=12045
wui4 yu1 	位於	c=3 d=0.878095 t=12045
wui4 zhy4 	位置	c=6 d=0.677057 t=12045
wun1 shy1 	溫溼	c=0 d=0.18233 t=12045
wun1 shy1 du4 	溫溼度	c=3 d=1.91267 t=12045
wun1 shy1 du4 ji4 	溫溼度計	c=3 d=2.7929 t=12045
wun2 jan4 	文件	c=7 d=1.02257 t=12045
wun2 jan4 ja1 	文件夾	c=1 d=0.878095 t=12045
wun2 kuo1 	文科	c=1 d=0.687289 t=12045
wun2 tian1 siang2 	文天祥	c=2 d=0.521003 t=12045
wun2 xan4 	文獻	c=1 d=0.0211448 t=12045
wun2 zhang1 	文章	c=2 d=0.140858 t=12045
wun2 zy4 	文字	c=1 d=0.0163259 t=12045
wun4 	問	c=2 d=0.0768998 t=12045
wun4 hau3 	問好	c=1 d=0.0342181 t=12045
wun4 hau4 	問號	c=1 d=0.0343896 t=12045
wun4 ni3 	問你	c=1 d=0.000343955 t=12045
wun4 ti2 	問題	c=15 d=3.2 t=12045
wun4 ti2 zhung1 	問題中	c=2 d=1.39198 t=12045
xa2 kou3 	峽口	c=-1 d=0 t=12045
xa4 	下	c=9 d=1.69152 t=12045
xa4 ban1 	下班	c=1 d=0.913931 t=12045
xa4 bu1 xa4 	下不下	c=1 d=0.318418 t=12045
xa4 bu1 xa4 lai2 	下不下來	c=1 d=0.0845849 t=12045
xa4 hui2 	下回	c=1 d=0.210136 t=12045
xa4 kuo4 	下課	c=2 d=0.0593107 t=12045
xa4 lou2 	下樓	c=1 d=0.744532 t=12045
xa4 mian4 	下面	c=2 d=0.159261 t=12045
xa4 qu4 	下去	c=1 d=0.329559 t=12045
xa4 shou3 	下手	c=1 d=0.0352602 t=12045
xa4 wu3 	下午	c=11 d=3.22847 t=12045
xa4 yi1 bu4 	下一步	c=1 d=0.0448245 t=12045
xa4 you2 	下游	c=2 d=0.290835 t=12045
xa4 yu3 	下雨	c=1 d=0.00242967 t=12045
xa4 zai3 	下載	c=3 d=0.808888 t=12045
xa4 zhou1 	下週	c=1 d=0.0308074 t=12045
xa4 zhou1 muo1 	下週末	c=1 d=0.071719 t=12045
xan2 	嫌	c=3 d=0.637628 t=12045
xan3 shy4 	顯示	c=5 d=0.393611 t=12045
xan3 sing4 	顯性	c=0 d=0.0782705 t=12045
xan3 zhu4 	顯著	c=3 d=1.36933 t=12045
xan3 zhu4 sing4 	顯著性	c=1 d=0.324652 t=12045
xan3 zhu4 sing4 jan3 yan4 	顯著性檢驗	c=2 d=0.0308274 t=12045
xan4 	現	c=1 d=0.179964 t=12045
xan4 dai4 	現代	c=1 d=0.19593 t=12045
xan4 dai4 wun2 	現代文	c=1 d=0.392586 t=12045
xan4 du4 	限度	c=1 d=0.00711891 t=12045
xan4 li3 	縣裏	c=1 d=0.163654 t=12045
xan4 siang4 	現象	c=4 d=0.421052 t=12045
xan4 su1 	限速	c=0 d=0.00773047 t=12045
xan4 su1 bu4 zhou4 	限速步驟	c=1 d=0.0776922 t=12045
xan4 zai4 	現在	c=20 d=1.50328 t=12045
xan4 zai4 le1 	現在的	c=1 d=0.132655 t=12045
xan4 zhy4 	限制	c=1 d=0.15577 t=12045
xan4 zhy4 zuo1 yung4 	限制作用	c=2 d=1.79391 t=12045
xang4 	向	c=5 d=1.0102 t=12045
xang4 nuan3 yi1 zhy1 kai1 	向暖一枝開	c=2 d=0.995012 t=12045
xang4 shang4 	向上	c=0 d=0.0118837 t=12045
xau4 du2 	校讀	c=2 d=0.47695 t=12045
xau4 guo3 	效果	c=2 d=0.0120451 t=12045
xau4 liu1 	效率	c=2 d=0.782705 t=12045
xau4 ying1 	效應	c=6 d=0.746322 t=12045
xau4 ying1 fen1 zy3 	效應分子	c=1 d=0.856415 t=12045
xau4 ying1 zuo1 yung4 	效應作用	c=1 d=0.267135 t=12045
xau4 you3 	校友	c=1 d=0.15259 t=12045
xe1 	血	c=0 d=0.013068 t=12045
xe1 cing1 	血清	c=18 d=4.96663 t=12045
xe1 cing1 han2 liang2 	血清含量	c=1 d=0.0468877 t=12045
xe1 cing1 xing2 	血清型	c=2 d=1.20105 t=12045
xe1 guan3 	血管	c=1 d=0.846538 t=12045
xe1 guan3 bi1 	血管壁	c=1 d=0.548812 t=12045
xe1 guan3 di4 zhy3 	血管地址	c=1 d=0.900325 t=12045
xe1 hung2 su4 	血紅素	c=1 d=0.0357931 t=12045
xe1 liau3 	歇了	c=1 d=0.08291 t=12045
xe1 tang2 	血糖	c=0 d=0.0232236 t=12045
xe1 tang2 yi2 	血糖儀	c=1 d=0.2334 t=12045
xe1 yi2 	血液	c=2 d=0.965605 t=12045
xe1 ziang1 	血漿	c=3 d=0.216674 t=12045
xe2 tiau2 	協調	c=0 d=0.0222017 t=12045
xe2 tiau2 tui1 zin4 	協調推進	c=1 d=0.22313 t=12045
xe2 tung2 	協同	c=1 d=0.741124 t=12045
xe2 tung2 cy4 ji1 fen1 zy3 	協同刺激分子	c=1 d=0.321422 t=12045
xe2 tung2 sing4 	協同性	c=1 d=0.22313 t=12045
xe2 yi4 	協議	c=0 d=0.0438235 t=12045
xe2 zhu4 	協助	c=1 d=0.0788664 t=12045
xi1 la1 	希臘	c=1 d=0.031117 t=12045
xi1 la1 zy4 mu3 	希臘字母	c=8 d=0.95361 t=12045
xi1 shau3 	稀少	c=1 d=0.965605 t=12045
xi1 wang4 	希望	c=3 d=0.0180648 t=12045
xi2 shau2 	嵇紹	c=1 d=0.960789 t=12045
xi4 	系	c=0 d=0.148953 t=12045
xi4 shu3 	係數	c=0 d=0.0527292 t=12045
xi4 tung3 	系統	c=2 d=0.13109 t=12045
xi4 zhu3 rhen4 	系主任	c=1 d=0.079659 t=12045
xing1 ciu4 	興趣	c=2 d=0.721081 t=12045
xing2 	型	c=8 d=1.05862 t=12045
xing2 	形	c=1 d=0.955997 t=12045
xing2 cheng2 	形成	c=8 d=1.91658 t=12045
xing2 hau4 	型號	c=1 d=0.00673795 t=12045
xing2 ma3 	形碼	c=1 d=0.000495472 t=12045
xing2 shy1 	形式	c=9 d=0.876812 t=12045
xing2 shy3 	行使	c=1 d=0.527292 t=12045
xing2 zin4 	行進	c=1 d=0.348192 t=12045
xu1 yi3 eo1 di2 	虛擬阿迪	c=-1 d=0 t=12045
xu1 yi3 eo1 di2 ha1 	虛擬阿迪哈	c=-1 d=0 t=12045
xu3 duo1 	許多	c=2 d=1.03507 t=12045
xu3 shy4 jan4 pan2 	許氏鍵盤	c=1 d=0.00220948 t=12045
xuan2 kung1 	懸空	c=1 d=0.00588705 t=12045
xung1 sian4 	胸腺	c=7 d=3.8415 t=12045
xung1 sian4 vi2 huan2 jing3 	胸腺微環境	c=1 d=0.822835 t=12045
xung2 	熊	c=1 d=0.763379 t=12045
xuo2 	學	c=8 d=1.16845 t=12045
xuo2 dau4 	學到	c=1 d=0.0159229 t=12045
xuo2 dian3 	學點	c=1 d=0.0361528 t=12045
xuo2 fi4 	學費	c=2 d=0.421336 t=12045
xuo2 guo1 	學過	c=1 d=0.00794669 t=12045
xuo2 le1 	學的	c=1 d=0.0192547 t=12045
xuo2 ming2 	學名	c=1 d=0.794534 t=12045
xuo2 sheng1 	學生	c=3 d=0.814647 t=12045
xuo2 sheng1 zheng4 	學生證	c=2 d=1.72144 t=12045
xuo2 si2 	學習	c=6 d=1.14497 t=12045
xuo2 si2 shy2 	學習室	c=2 d=0.0382607 t=12045
xuo2 xau4 	學校	c=4 d=0.753773 t=12045
xuo2 xau4 li3 	學校裏	c=1 d=0.470011 t=12045
xuo2 yuan4 	學院	c=4 d=0.54649 t=12045
ya1 qun2 	呀羣	c=-1 d=0 t=12045
ya1 shuo1 bau1 	壓縮包	c=1 d=0.0195457 t=12045
ya4 ji1 	亞基	c=2 d=0.612626 t=12045
ya4 lui4 	亞類	c=2 d=0.362402 t=12045
ya4 qun2 	亞羣	c=4 d=0.88537 t=12045
ya4 xing2 	亞型	c=1 d=0.366045 t=12045
ya4 yi4 	亞裔	c=1 d=0.135335 t=12045
yan1 	煙	c=0 d=0.00274607 t=12045
yan1 hua1 	煙花	c=0 d=0.000236968 t=12045
yan1 hua1 yi1 leng3 	煙花易冷	c=1 d=0.00238156 t=12045
yan1 qi2 	焉耆	c=1 d=0.782705 t=12045
yan1 sian1 an4 	煙酰胺	c=1 d=0.0305287 t=12045
yan1 sian1 an4 sian4 piau1 ling2 el4 he2 gan1 suan1 	煙酰胺腺嘌呤二核苷酸	c=1 d=0.0324117 t=12045
yan1 sian1 an4 sian4 piau1 ling2 el4 he2 gan1 suan1 lin2 suan1 	煙酰胺腺嘌呤二核苷酸磷酸	c=1 d=0.0297478 t=12045
yan1 suan1 	煙酸	c=1 d=0.0271874 t=12045
yan2 	沿	c=2 d=0.909373 t=12045
yan2 bian1 	延邊	c=1 d=0.99005 t=12045
yan2 chang2 	延長	c=4 d=2.04996 t=12045
yan2 chen1 	延伸	c=1 d=0.264477 t=12045
yan2 ge1 	嚴格	c=2 d=0.387503 t=12045
yan2 jin3 	嚴謹	c=1 d=0.054204 t=12045
yan2 jou4 sheng1 	研究生	c=4 d=1.84159 t=12045
yan2 sian4 	沿線	c=1 d=0.516851 t=12045
yan2 ti3 	顏體	c=1 d=0.271173 t=12045
yan2 yan2 hung2 rhy1 sheng1 fu2 sang1 	炎炎紅日昇扶桑	c=1 d=0.771052 t=12045
yan2 zhen1 qing1 	顏真卿	c=2 d=0.48393 t=12045
yan2 zheng1 	炎症	c=7 d=1.78627 t=12045
yan2 zheng1 bu4 wui4 	炎症部位	c=1 d=0.822835 t=12045
yan2 zheng1 fan3 ying4 	炎症反應	c=3 d=1.86064 t=12045
yan2 zheng1 guo1 cheng2 zhung1 	炎症過程中	c=1 d=0.647265 t=12045
yan2 zheng1 jai4 zhy1 zuo1 yung4 	炎症介質作用	c=1 d=0.136014 t=12045
yan2 zheng1 sing4 	炎症性	c=0 d=0.0149569 t=12045
yan2 zheng1 sing4 zi2 bing4 	炎症性疾病	c=1 d=0.150318 t=12045
yan2 ziang1 jun1 tou2 	嚴將軍頭	c=0 d=0.0941765 t=12045
yan3 bian4 	演變	c=2 d=0.995042 t=12045
yan3 cau3 	演草	c=0 d=0.018452 t=12045
yan3 cau3 zhy3 	演草紙	c=1 d=0.185444 t=12045
yan3 cian2 yi1 liang4 	眼前一亮	c=1 d=0.121846 t=12045
yan3 sheng1 wu1 	衍生物	c=3 d=0.101433 t=12045
yan3 sheo4 	衍射	c=0 d=0.0748264 t=12045
yang1 shy1 	央視	c=0 d=0.0392586 t=12045
yang1 shy1 sin1 wun2 	央視新聞	c=1 d=0.394554 t=12045
yang2 	楊	c=1 d=0.0816756 t=12045
yang2 sing4 	陽性	c=1 d=1.09413 t=12045
yang2 ziun4 	楊俊	c=1 d=0.99005 t=12045
yang3 hua4 huan2 yuan2 	氧化還原	c=1 d=0.0464212 t=12045
yang4 	樣	c=4 d=0.413276 t=12045
yang4 ben3 	樣本	c=5 d=1.03395 t=12045
yang4 leo1 	樣了	c=1 d=0.0305009 t=12045
yau1 	要	c=2 d=0.748789 t=12045
yau1 bu1 	要不	c=6 d=0.790844 t=12045
yau1 bu1 yau1 	要不要	c=1 d=0.0902655 t=12045
yau1 cian2 	要錢	c=1 d=0.323033 t=12045
yau1 cing3 	邀請	c=2 d=0.942376 t=12045
yau1 jin3 	要緊	c=1 d=0.0325493 t=12045
yau1 qou2 	要求	c=3 d=0.744532 t=12045
yau1 shy4 	要是	c=11 d=1.7949 t=12045
yau1 siang3 	要想	c=1 d=0.0104621 t=12045
yau1 yung4 	要用	c=1 d=0.941765 t=12045
yau2 wu3 	姚武	c=1 d=0.0788664 t=12045
ye1 	頁	c=1 d=0.491644 t=12045
ye1 suan1 	葉酸	c=1 d=0.0347353 t=12045
ye3 	也	c=21 d=1.76028 t=12045
ye3 bu1 gou4 	也不夠	c=1 d=0.782705 t=12045
ye3 bu1 hui4 	也不會	c=1 d=0.276651 t=12045
ye3 bu1 neng2 	也不能	c=1 d=0.0303487 t=12045
ye3 bu1 shy4 	也不是	c=2 d=0.970446 t=12045
ye3 bu1 tung2 	也不同	c=1 d=0.843665 t=12045
ye3 bu1 yi1 yang4 	也不一樣	c=1 d=0.310367 t=12045
ye3 bu1 yung4 	也不用	c=1 d=0.00980366 t=12045
ye3 bu1 zhung1 	也不中	c=1 d=0.106992 t=12045
ye3 cheng1 	也稱	c=5 d=1.01983 t=12045
ye3 cheng1 wui2 	也稱爲	c=2 d=0.83527 t=12045
ye3 de1 	也得	c=1 d=0.869358 t=12045
ye3 duo1 	也多	c=1 d=0.157237 t=12045
ye3 gai1 	也該	c=1 d=0.88692 t=12045
ye3 hen3 	也很	c=1 d=0.377192 t=12045
ye3 hui4 	也會	c=2 d=0.910246 t=12045
ye3 ju4 you3 	也具有	c=2 d=0.427632 t=12045
ye3 keo3 	也可	c=1 d=0.253778 t=12045
ye3 keo3 biau3 da1 	也可表達	c=1 d=0.666977 t=12045
ye3 keo3 yi3 	也可以	c=1 d=0.127454 t=12045
ye3 mu2 fa1 	也無法	c=1 d=0.755784 t=12045
ye3 mu2 shy4 	也沒事	c=1 d=0.00960953 t=12045
ye3 mu2 you3 	也沒有	c=3 d=0.970446 t=12045
ye3 muo2 	也沒	c=1 d=0.193013 t=12045
ye3 neng2 	也能	c=3 d=0.433874 t=12045
ye3 shy4 	也是	c=10 d=0.89625 t=12045
ye3 xu3 	也許	c=1 d=0.774916 t=12045
ye3 you3 	也有	c=4 d=0.845962 t=12045
ye3 zai4 	也在	c=2 d=0.615697 t=12045
ye3 zhung1 	也中	c=5 d=0.125556 t=12045
ye3 ziou4 	也就	c=2 d=0.618783 t=12045
ye3 ziou4 shy4 	也就是	c=1 d=0.0337087 t=12045
ye3 ziou4 shy4 shuo1 	也就是說	c=1 d=0.737123 t=12045
ye4 chen1 	夜深	c=1 d=0.759572 t=12045
ye4 shen1 	夜深	c=1 d=0.744532 t=12045
yi1 	一	c=11 d=0.917532 t=12045
yi1 	易	c=1 d=0.913931 t=12045
yi1 ban1 	一般	c=9 d=0.630242 t=12045
yi1 ban4 	一半	c=2 d=0.0905877 t=12045
yi1 bau3 	醫保	c=1 d=0.341298 t=12045
yi1 ben3 	一本	c=5 d=1.53839 t=12045
yi1 bian4 	一遍	c=1 d=0.0160829 t=12045
yi1 cha2 	一查	c=1 d=0.0262523 t=12045
yi1 cy4 	一次	c=5 d=0.772029 t=12045
yi1 cy4 	依次	c=3 d=0.29121 t=12045
yi1 da4 	一大	c=1 d=0.918512 t=12045
yi1 da4 pi1 	一大批	c=1 d=0.463013 t=12045
yi1 da4 tou2 	一大頭	c=1 d=0.205975 t=12045
yi1 dai4 yi1 lu4 	一帶一路	c=2 d=0.926988 t=12045
yi1 dau4 	一道	c=0 d=0.0687289 t=12045
yi1 dian3 	一點	c=9 d=0.985519 t=12045
yi1 die2 	一疊	c=1 d=0.211189 t=12045
yi1 ding4 	一定	c=2 d=0.281458 t=12045
yi1 ding4 le1 	一定的	c=1 d=0.697676 t=12045
yi1 du2 	譯讀	c=1 d=0.109701 t=12045
yi1 duan4 	一段	c=6 d=1.10972 t=12045
yi1 fen4 	一份	c=2 d=0.923116 t=12045
yi1 gan3 sing4 	易感性	c=1 d=0.737123 t=12045
yi1 geo4 	一個	c=48 d=2.42627 t=12045
yi1 geo4 yi4 sy1 	一個意思	c=1 d=0.351692 t=12045
yi1 gung1 li3 	一公里	c=1 d=0.386741 t=12045
yi1 gung4 	一共	c=2 d=0.63945 t=12045
yi1 hang2 	一行	c=1 d=0.0256042 t=12045
yi1 hui4 el2 	一會兒	c=8 d=1.38256 t=12045
yi1 ja1 	一家	c=0 d=0.0960789 t=12045
yi1 ja1 yi1 	一加一	c=0 d=0.0865022 t=12045
yi1 ja1 yi1 jan3 	一加一減	c=1 d=0.869358 t=12045
yi1 jai1 	一階	c=2 d=0.00058993 t=12045
yi1 jai1 dau4 shuo4 	一階導數	c=2 d=0.000378522 t=12045
yi1 jan4 	一見	c=1 d=0.960789 t=12045
yi1 jau4 	一覺	c=1 d=0.946485 t=12045
yi1 jing1 yi1 zha4 	一驚一乍	c=1 d=0.932394 t=12045
yi1 ju4 	一句	c=4 d=1.54553 t=12045
yi1 ju4 	依據	c=3 d=1.77989 t=12045
yi1 ju4 hua4 	一句話	c=1 d=0.000267872 t=12045
yi1 kai1 shy3 	一開始	c=5 d=1.5088 t=12045
yi1 kan1 	一看	c=1 d=0.733447 t=12045
yi1 kou3 	一口	c=1 d=0.12493 t=12045
yi1 lai4 	依賴	c=5 d=0.840163 t=12045
yi1 lai4 sing4 	依賴性	c=2 d=0.816344 t=12045
yi1 lai4 yu1 	依賴於	c=2 d=1.35494 t=12045
yi1 li2 	伊犁	c=1 d=0.798516 t=12045
yi1 liau4 fi4 wu1 	醫療廢物	c=1 d=0.621885 t=12045
yi1 lui4 	一類	c=4 d=0.839457 t=12045
yi1 ming2 	一名	c=1 d=0.268474 t=12045
yi1 na1 	一捺	c=0 d=6.62162e-05 t=12045
yi1 nian2 	一年	c=1 d=0.0833256 t=12045
yi1 nian2 duo1 	一年多	c=0 d=0.0733447 t=12045
yi1 nian2 duo1 lai2 	一年多來	c=1 d=0.737123 t=12045
yi1 nian2 ji1 	一年級	c=2 d=0.0172049 t=12045
yi1 pai2 	一排	c=4 d=0.195582 t=12045
yi1 pian1 	一篇	c=1 d=0.737123 t=12045
yi1 pie1 	一撇	c=0 d=6.62162e-05 t=12045
yi1 pie1 yi1 na1 	一撇一捺	c=1 d=0.000665481 t=12045
yi1 qi3 	一起	c=10 d=2.55428 t=12045
yi1 sheng1 	醫生	c=1 d=0.733447 t=12045
yi1 shuo1 	一說	c=2 d=0.136212 t=12045
yi1 shuo1 sha4 	一說啥	c=1 d=0.0867261 t=12045
yi1 sie1 	一些	c=9 d=0.599316 t=12045
yi1 tian1 	一天	c=1 d=0.657047 t=12045
yi1 tiau2 	一條	c=4 d=0.700264 t=12045
yi1 wui4 	易位	c=2 d=0.274982 t=12045
yi1 wun4 	一問	c=1 d=0.0497871 t=12045
yi1 xa4 	一下	c=21 d=2.71176 t=12045
yi1 xa4 yu3 	一下雨	c=1 d=0.25924 t=12045
yi1 xi4 lie1 	一系列	c=4 d=0.650509 t=12045
yi1 xuo2 	醫學	c=5 d=1.61967 t=12045
yi1 xuo2 mian3 yi1 xuo2 	醫學免疫學	c=1 d=0.737123 t=12045
yi1 yan3 	一眼	c=1 d=0.767206 t=12045
yi1 yang4 	一樣	c=3 d=0.935975 t=12045
yi1 yi1 	一一	c=1 d=0.19205 t=12045
yi1 yuan4 	醫院	c=2 d=0.0169998 t=12045
yi1 yue1 	一月	c=2 d=0.296634 t=12045
yi1 zau3 	一早	c=3 d=0.954028 t=12045
yi1 zhau4 	依照	c=1 d=0.687289 t=12045
yi1 zhung3 	一種	c=11 d=1.8123 t=12045
yi1 zhy1 	一支	c=1 d=0.782705 t=12045
yi1 zhy1 	一枝	c=0 d=0.099005 t=12045
yi1 zhy2 	一直	c=4 d=0.361735 t=12045
yi1 zhy4 	一致	c=3 d=0.0778562 t=12045
yi1 zhy4 	抑制	c=6 d=1.094 t=12045
yi1 zhy4 sing4 	一致性	c=2 d=0.308793 t=12045
yi1 zhy4 sing4 	抑制性	c=1 d=0.909373 t=12045
yi1 zie2 	一截	c=1 d=0.064894 t=12045
yi1 zu3 	一組	c=6 d=0.440148 t=12045
yi2 	儀	c=0 d=0.0232236 t=12045
yi2 	液	c=0 d=0.0694197 t=12045
yi2 	移	c=0 d=0.0856415 t=12045
yi2 chuan2 bing4 	遺傳病	c=2 d=0.412496 t=12045
yi2 chuan2 mi1 ma3 	遺傳密碼	c=1 d=0.826959 t=12045
yi2 chuan2 sin4 si1 	遺傳信息	c=3 d=0.615149 t=12045
yi2 chuan2 sing4 	遺傳性	c=1 d=0.142274 t=12045
yi2 chuan2 wu1 zhy1 	遺傳物質	c=2 d=0.120731 t=12045
yi2 dung4 	移動	c=2 d=1 t=12045
yi2 ma3 tu2 bian4 	移碼突變	c=2 d=0.860708 t=12045
yi2 qi4 	儀器	c=1 d=0.0675424 t=12045
yi2 wui4 	移位	c=1 d=0.136014 t=12045
yi2 zhy1 	移植	c=0 d=0.0970446 t=12045
yi2 zhy1 pai2 chy1 fan3 ying4 	移植排斥反應	c=1 d=0.289384 t=12045
yi2 zhy1 wu1 pai2 chy1 	移植物排斥	c=1 d=0.97531 t=12045
yi3 	以	c=17 d=1.86746 t=12045
yi3 bei1 	以北	c=2 d=0.755729 t=12045
yi3 cian2 	以前	c=1 d=0.0655462 t=12045
yi3 hou4 	以後	c=11 d=2.1837 t=12045
yi3 ji1 	以及	c=11 d=1.92313 t=12045
yi3 jing1 	已經	c=13 d=2.36569 t=12045
yi3 qi2 	以其	c=2 d=1.10967 t=12045
yi3 shang4 	以上	c=2 d=0.229925 t=12045
yi3 wang3 	以往	c=1 d=0.937067 t=12045
yi3 wui2 	以爲	c=2 d=0.598897 t=12045
yi3 zai4 	已在	c=1 d=0.386741 t=12045
yi3 zhy1 	已知	c=3 d=0.978434 t=12045
yi3 zhy4 yu1 	以至於	c=1 d=0.00128115 t=12045
yi4 	異	c=0 d=0.0255381 t=12045
yi4 je1 guan1 zhang1 yuan4 fu2 zhu3 	義結關張願扶主	c=1 d=0.869358 t=12045
yi4 sy1 	意思	c=6 d=0.715424 t=12045
yi4 ti3 	異體	c=0 d=0.0156453 t=12045
yi4 ti3 qi4 guan1 yi2 zhy1 	異體器官移植	c=1 d=0.157237 t=12045
yi4 ti3 zy4 	異體字	c=1 d=1 t=12045
yi4 wai4 	意外	c=0 d=0.00227089 t=12045
yi4 wai4 shou1 huai2 	意外收獲	c=1 d=0.0228227 t=12045
yi4 xing2 	異型	c=0 d=0.0367879 t=12045
yi4 yi4 	意義	c=4 d=0.141564 t=12045
yi4 yuan2 el4 ziu4 ti3 	異源二聚體	c=1 d=0.256661 t=12045
yi4 zhy1 sing4 	異質性	c=2 d=0.948692 t=12045
yin1 	因	c=1 d=0.25284 t=12045
yin1 	音	c=1 d=0.400517 t=12045
yin1 cy3 	因此	c=4 d=0.909373 t=12045
yin1 el2 	因而	c=6 d=1.61611 t=12045
yin1 liang2 	音量	c=1 d=0.0871609 t=12045
yin1 ma3 	音碼	c=3 d=0.00319876 t=12045
yin1 sing4 	陰性	c=1 d=1.10706 t=12045
yin1 su4 	因素	c=1 d=0.913931 t=12045
yin1 wui2 	因爲	c=10 d=0.860708 t=12045
yin1 yun4 	音韻	c=1 d=0.0141223 t=12045
yin1 zie1 	音節	c=3 d=0.79879 t=12045
yin1 zy3 	因子	c=11 d=5.18039 t=12045
yin2 keo1 	銀珂	c=-1 d=0 t=12045
yin3 qi3 	引起	c=4 d=1.0201 t=12045
yin3 qi3 le1 	引起的	c=1 d=0.970446 t=12045
yin3 qing2 	引擎	c=1 d=0.565525 t=12045
yin3 rhen2 zhu3 yi4 	引人注意	c=1 d=7.94939e-07 t=12045
yin3 rhen3 zu4 	隱忍做	c=-1 d=0 t=12045
yin3 wu1 	引物	c=6 d=1.00952 t=12045
yin3 wu1 mei2 	引物酶	c=2 d=0.371912 t=12045
yin4 siang4 	印象	c=3 d=1.33182 t=12045
ying1 da1 	應答	c=3 d=0.50659 t=12045
ying1 fu4 	應付	c=1 d=0.0365162 t=12045
ying1 gai1 	應該	c=27 d=2.33453 t=12045
ying1 gai1 bu1 hui4 	應該不會	c=1 d=0.814647 t=12045
ying1 gai1 shy4 	應該是	c=5 d=0.983984 t=12045
ying1 ji1 	應激	c=0 d=0.0985112 t=12045
ying1 ji1 fan3 ying4 	應激反應	c=1 d=0.99005 t=12045
ying1 wun2 	英文	c=7 d=2.09224 t=12045
ying1 wun2 zy4 ti3 	英文字體	c=1 d=0.0347353 t=12045
ying1 xung2 	英雄	c=2 d=0.249075 t=12045
ying1 yu3 	英語	c=2 d=0.378858 t=12045
ying1 yung4 	應用	c=3 d=1.16687 t=12045
ying2 gai3 zeng1 	營改增	c=1 d=0.729789 t=12045
ying2 xe1 	凝血	c=1 d=0.0483156 t=12045
ying2 zi1 su4 	凝集素	c=1 d=0.0939493 t=12045
ying3 shy1 	影視	c=1 d=0.0439369 t=12045
ying3 xang3 	影響	c=7 d=0.418704 t=12045
ying3 xang3 ka3 	影響卡	c=-1 d=0 t=12045
ying3 xang3 xa4 	影響下	c=1 d=0.923116 t=12045
ying3 yuan4 	影院	c=1 d=0.386741 t=12045
you1 hua4 	優化	c=5 d=0.774916 t=12045
you1 liue1 	優劣	c=3 d=0.0901879 t=12045
you1 sian1 	優先	c=2 d=0.311443 t=12045
you1 siou4 	優秀	c=0 d=4.52827e-05 t=12045
you2 	由	c=20 d=2.62403 t=12045
you2 cy3 	由此	c=1 d=0.621885 t=12045
you2 guan3 	油管	c=1 d=0.00226541 t=12045
you2 jan4 	郵件	c=4 d=0.909373 t=12045
you2 jan4 rhu1 sheo1 yi1 	由儉入奢易	c=1 d=0.865022 t=12045
you2 ji1 	遊擊	c=1 d=0.315058 t=12045
you2 li2 	遊離	c=4 d=0.495838 t=12045
you2 qi2 shy4 	尤其是	c=2 d=0.444858 t=12045
you2 qi2 zai4 	尤其在	c=1 d=0.398519 t=12045
you2 sheo1 rhu1 jan4 nan2 	由奢入儉難	c=1 d=0.869358 t=12045
you2 siang1 	郵箱	c=2 d=1.81517 t=12045
you2 xi4 	遊戲	c=3 d=0.99005 t=12045
you2 yu1 	由於	c=4 d=0.855803 t=12045
you2 yu4 	猶豫	c=1 d=0.193013 t=12045
you2 zheng4 	郵政	c=1 d=0.00208081 t=12045
you3 	有	c=63 d=3.47947 t=12045
you3 ba1 	有吧	c=1 d=0.214381 t=12045
you3 cian2 tu2 	有前途	c=1 d=0.00509243 t=12045
you3 dau4 	有道	c=1 d=0.0304962 t=12045
you3 dau4 cy2 dian3 	有道詞典	c=1 d=0.0359725 t=12045
you3 di3 qi4 	有底氣	c=1 d=0.29671 t=12045
you3 dian3 	有點	c=6 d=0.947356 t=12045
you3 dian3 da4 	有點大	c=1 d=0.149569 t=12045
you3 du4 	有度	c=1 d=0.222017 t=12045
you3 duan4 shy2 jan1 	有段時間	c=1 d=0.937067 t=12045
you3 duo1 shau3 	有多少	c=1 d=0.197899 t=12045
you3 fa1 el2 	有法兒	c=1 d=0.117068 t=12045
you3 fang2 	有房	c=1 d=0.377192 t=12045
you3 geo4 	有個	c=6 d=0.594809 t=12045
you3 guan1 	有關	c=1 d=0.458406 t=12045
you3 hai2 el2 	有孩兒	c=1 d=0.364219 t=12045
you3 hai4 	有害	c=0 d=0.0202909 t=12045
you3 hai4 tu2 bian4 	有害突變	c=1 d=0.203926 t=12045
you3 he2 	有核	c=0 d=0.0790571 t=12045
